permalink,collection,id,loc,uuid,artist,year,location,description,imageLink
https://digitalcollections.nypl.org/items/510d47df-1ef2-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1217218,,fbd008b0-c6f3-012f-88bd-58d385a7bc34,Chicago Commission on Race Relations,1922,"Chicago, Illinois",Woman holding infant and milk bottle,https://images.nypl.org/index.php?id=1217218&t=w
https://digitalcollections.nypl.org/items/510d47de-8175-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1211916,,86005380-c612-012f-3b53-58d385a7bc34,"Lange, Dorothea",1937,"Memphis, Tennessee",Women traveling from Tennessee to Arkansas,https://images.nypl.org/index.php?id=1211916&t=w
https://digitalcollections.nypl.org/items/510d47de-7bdd-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1206691,,bf73d3b0-c6ed-012f-973c-58d385a7bc34,"Miller, Kelly",1914-1918,Washington D.C.,Portrait of women employed by the Navy,https://images.nypl.org/index.php?id=1206691&t=w
https://digitalcollections.nypl.org/items/510d47dd-df8d-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1121215,,5c3770f0-c617-012f-b50a-58d385a7bc34,"Whipple, Phila M.",1907,Boston,Family posing outside their cabin home,https://images.nypl.org/index.php?id=1121215&t=w
https://digitalcollections.nypl.org/items/510d47df-fa22-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260373,,1d520180-c6be-012f-bf75-58d385a7bc34,Leonard,1937,"Freedman's Hospital, Washington D.C.",Student preparing surgical dressings,https://images.nypl.org/index.php?id=1260373&t=w
https://digitalcollections.nypl.org/items/510d47df-fa45-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260399,,3915beb0-c6d1-012f-f033-58d385a7bc34,"Smith, Roger",1939-1945,Washington D.C.,War industry training for public school woman,https://images.nypl.org/index.php?id=1260399&t=w
https://digitalcollections.nypl.org/items/510d47df-f992-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260226,,a7095240-c612-012f-12b2-58d385a7bc34,"Lee, Russell",1940-1949,"Chicago, Illinois","Woman reading bible in Store Front Baptist church, Chicago",https://images.nypl.org/index.php?id=1260226&t=w
https://digitalcollections.nypl.org/items/510d47df-fa1b-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260367,,1aabcb00-c6be-012f-b609-58d385a7bc34,,1935-1943,"Brooklyn, New York",Woman working at Brooklyn Work Experience Center,https://images.nypl.org/index.php?id=1260367&t=w
https://digitalcollections.nypl.org/items/510d47df-fa3f-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260397,,362e0040-c6d1-012f-a9ee-58d385a7bc34,"Joseph, E.F.",1943,"Kaiser Shipyards, Richmond, California",Industrial worker building SS George Washington Carver,https://images.nypl.org/index.php?id=1260397&t=w
https://digitalcollections.nypl.org/items/510d47df-fa43-a3d9-e040-e00a18064a99,Schomburg Center for Research in Black Culture,1260392,,1f523b30-c6be-012f-3d1f-58d385a7bc34,,1939-1950,"Brooklyn, New York",Young woman working at Brooklyn Work Experience Center,https://images.nypl.org/index.php?id=1260392&t=w
